"","driver","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193"
"13","Martin Truex Jr.",NA,52.774,47.598,47.561,47.572,47.547,47.436,47.583,47.4,47.293,47.312,47.355,47.398,46.915,46.921,47.101,47.333,47.506,47.468,47.35,47.209,47.226,47.073,47.179,47.011,47.116,47.214,47.168,46.832,46.921,46.79,46.8,47.125,46.839,46.999,46.938,47.259,47.245,68.288,63.061,48.534,80.328,117.453,127.545,128.091,124.373,51.223,46.674,46.866,47.01,46.998,46.272,61.809,110.964,128.855,127.678,129.387,51.077,46.864,46.806,46.89,46.457,46.878,56.122,124.565,133.588,131.44,131.185,157.545,115.536,125.837,117.799,51.123,46.951,46.658,47.069,47.271,47.03,47.058,47.344,46.938,47.155,46.886,47.044,47.704,46.733,46.957,46.973,47.213,46.72,46.941,47.029,47.289,47.182,46.964,46.99,46.991,47.221,46.991,46.805,47.094,47.041,46.97,46.851,47.305,47.053,47.212,46.989,47.674,65.573,62.52,46.583,47.258,47.143,47.207,46.799,46.833,46.762,46.967,46.861,46.861,46.676,46.561,46.4,46.437,46.582,46.556,46.114,46.587,46.803,46.622,63.657,120.236,155.533,125.871,124.131,47.062,47.245,47.088,46.761,46.743,46.766,46.764,49.419,181.543,72.786,164.831,65.974,124.063,154.83,107.767,50.4,47.538,47.546,46.547,46.564,46.644,47.212,47.126,46.392,46.379,47.085,46.928,46.74,46.781,46.876,46.606,46.537,46.97,46.941,46.604,46.425,46.43,46.404,47.624,46.548,47.125,46.383,47.347,46.059,46.247,46.778,506.324,175.321,109.874,129.873,55.673,109.621,126.504,138.105,133.776,51.925,47.185
"14","Corey LaJoie",NA,52.589,47.887,47.86,47.577,47.611,47.4,47.413,47.873,47.756,47.509,46.947,47.422,47.367,46.855,46.901,47.244,47.244,47.438,47.594,47.392,46.863,46.931,47.38,47.24,47.044,47.463,47.328,46.861,46.883,46.585,46.763,46.771,47.115,47.051,47.148,47.306,47.48,75.062,61.826,47.896,89.962,113.386,146.769,119.813,104.148,50.194,47.215,47.224,47.417,48.076,48.07,67.326,123.606,116.636,124.469,121.091,51.332,47.411,46.981,46.873,46.638,46.82,135.185,98.966,105.423,125.641,127.934,123.75,166.07,108.811,101.028,51.204,47.109,47.526,47.25,47.349,47.248,47.349,47.247,47.157,47.157,47.395,47.461,47.521,47.605,47.533,47.877,47.793,47.653,48.249,48.554,47.748,47.908,47.724,48.079,48.098,48.284,48.169,48.29,48.462,48.388,70.621,65.086,50.57,49.082,49.056,49.038,49.049,49.034,49.072,49.257,47.597,47.18,46.796,46.853,46.994,47.385,46.776,46.79,46.512,46.566,46.466,46.467,46.674,46.979,46.415,47.345,46.775,46.33,73.313,115.936,122.935,125.361,118.541,47.159,47.248,47.035,46.747,46.735,47.148,46.648,53.604,85.75,106.54,126.716,126.098,127.927,124.2,57.453,84.627,50.951,47.874,47.317,47.021,46.784,46.478,46.806,46.967,47.065,46.973,47.136,46.858,46.749,46.865,47.036,46.773,46.394,46.965,46.935,67.761,62.121,48.222,47.666,47.557,47.772,47.583,47.584,47.667,48.594,47.098,509.626,117.113,84.818,84.5,125.978,60.421,105.072,127.737,136.479,133.33,51.827,47.377
"15","Landon Cassill",NA,52.941,48.374,47.409,47.846,47.613,47.469,47.128,47.764,47.377,47.401,46.939,47.426,47.352,47.081,46.81,47.275,47.19,47.412,47.643,47.25,46.979,47.005,47.183,47.254,47.061,47.465,47.407,46.701,46.872,46.587,46.918,46.763,47.2,46.924,47.269,47.306,47.611,47.298,74.121,62.848,90.337,113.559,123.872,154.923,135.325,64.288,50.142,50.038,49.861,50.501,56.657,101.386,125.057,139.81,112.148,50.48,48.806,48.159,48.187,48.943,48.87,94.011,103.684,127.859,126.411,129.682,120.577,123.699,126.786,55.038,75.291,51.296,47.492,47.291,47.125,47.362,47.232,47.341,47.209,47.124,47.222,47.361,47.436,47.527,47.577,47.584,47.881,47.783,47.763,48.372,48.347,47.735,47.904,47.787,48.04,48.138,48.283,48.125,48.283,48.475,48.409,73.181,63.878,49.297,49.001,49.066,49.012,49.054,49.039,49.086,49.253,47.895,47.375,47.858,47.38,47.968,48.765,49.11,49.493,49.752,49.837,49.923,50.058,50.111,50.135,50.161,50.093,54.817,56.247,98.775,116.427,124.194,94.761,46.465,47.064,47.079,46.755,46.64,47.229,46.965,81.792,112.834,127.669,125.472,125.95,123.971,58.425,83.457,50.971,47.618,47.676,46.586,46.752,46.568,46.971,47.008,47.192,46.648,47.059,46.932,46.614,46.991,46.991,46.744,46.82,46.429,47.065,65.98,63.598,48.24,47.643,47.561,47.771,47.576,47.595,47.67,48.594,47.749,511.031,174.725,106.688,128.589,62.181,108.259,94.267,57.851,115.789,127.079,53.097,49.259,NA,NA
"16","Chris Buescher",NA,53.442,47.517,47.621,47.517,47.608,47.407,48.105,47.26,47.179,47.096,47.255,47.177,47.083,47.027,46.848,47.164,47.22,47.518,47.457,47.383,47.348,47.062,47.154,47.28,47.345,47.27,47.313,47.002,46.889,46.726,46.718,47.012,47.028,47.244,47.499,47.24,47.322,57.402,75.842,46.772,83.683,116.53,129.631,133.363,114.921,50.543,46.55,46.662,46.92,46.695,46.655,65.145,111.153,139.779,124.048,120.127,52.023,48.576,46.912,47.388,47.741,47.401,96.663,105.11,127.611,126.21,129.439,126.059,123.342,126.8,124.545,51.375,46.944,46.747,47.126,47.249,47.006,47.059,46.959,46.743,46.929,46.744,46.965,46.978,47.197,46.918,46.88,46.914,46.915,47.077,47.062,47.143,47.169,47.108,47.029,47.005,47.041,46.928,46.941,46.984,47.073,46.964,46.938,47.125,47.115,47.144,47.068,55.865,73.184,47.505,46.274,47.619,47.119,47.495,46.851,46.822,47.014,47.003,46.557,47.055,46.645,46.591,46.426,47.044,47.129,46.426,46.421,46.365,46.721,46.715,69.943,116.504,128.249,124.92,123.869,46.693,47.252,47,46.531,46.823,46.923,46.905,78.208,114.146,127.925,127.323,137.598,125.459,129.656,51.89,47.479,47.108,46.776,46.723,46.773,47.084,47.063,46.827,46.817,47.049,46.962,47.08,46.642,46.768,46.486,46.495,46.996,46.719,46.624,46.733,46.421,46.169,46.23,46.724,46.548,46.974,47.088,46.243,46.965,47.145,502.156,150.813,136.11,132.527,67.3,261.823,111.059,126.648,53.407,49.895,NA,NA
"17","Cody Ware",NA,52.811,47.572,47.777,48.076,47.307,47.43,47.541,47.284,47.257,47.227,47.034,47.488,47.056,46.891,47.197,47.184,47.48,47.651,48.076,47.397,46.886,47.199,47.825,48.809,48.244,48.276,48.433,48.539,48.541,48.783,49.003,49.047,49.095,49.367,49.382,81.209,64.622,50.484,50.483,57.851,59,100.905,122.229,124.503,117.284,50.739,46.685,47.742,46.927,48.469,46.607,67.726,125.611,118.055,124.154,121.432,51.197,47.947,47.286,47.536,47.577,47.357,87.719,102.946,134.526,127.22,130.918,150.06,118.606,123.055,113.683,51.329,47.225,47.522,47.52,47.422,47.293,48.182,47.214,47.111,47.214,47.45,47.318,47.787,47.3,47.601,47.882,47.81,47.713,48.512,48.3,47.933,47.716,47.789,48.02,48.247,48.274,48.702,48.436,48.327,48.23,75.727,64.784,50.446,49.53,49.375,49.223,48.824,47.118,46.697,47.37,47.606,47.164,47.407,47.007,46.592,46.885,46.954,46.794,46.359,46.534,46.706,46.586,46.886,46.961,46.693,47.659,48.527,48.265,75.755,115.252,118.65,124.89,116.407,47.19,47.352,47.194,46.701,46.792,47.19,46.71,56.194,85.446,110.798,127.375,124.409,124.852,124.968,61.029,78.415,50.608,47.542,47.765,47.227,46.501,46.145,47.295,47.205,46.562,46.655,47.055,47.393,46.139,47.027,46.944,46.754,46.806,46.429,47.572,67.805,64.386,48.784,48.819,48.426,46.668,46.761,46.639,46.325,47.705,47.88,512.706,171.766,107.981,127.92,67.703,106.912,125.642,137.011,129.772,53.036,48.586,NA
"18","Daniel Suarez",NA,52.566,47.891,47.89,47.474,47.415,47.342,47.371,47.456,47.11,47.047,47.401,47.153,47.043,46.918,46.935,47.142,47.271,47.516,47.481,47.408,47.334,47.038,47.128,47.3,47.307,47.361,47.293,46.941,46.963,46.665,46.861,46.961,47.046,47.168,47.096,47.127,47.656,72.708,62.024,46.869,89.567,114.845,125.414,127.915,117.973,50.779,46.752,47.752,47.017,48.118,46.744,67.094,127.351,117.924,124.26,120.519,51.378,47.452,47.341,47.737,47.585,47.338,87.239,102.479,134.205,127.591,131.112,145.326,115.297,126.038,118.738,51.17,46.943,46.671,46.901,47.145,47.022,47.138,47.407,46.929,48.176,46.775,46.847,47.594,47.12,46.891,46.731,47.349,46.749,46.783,47.066,47.244,47.266,47.036,46.978,46.812,47.339,46.961,46.839,47.008,47.048,46.973,46.915,47.357,47.1,47.226,46.976,65.664,61.708,47.037,55.31,62.419,48.694,48.242,48.301,48.132,48.162,48.055,48.153,48.052,47.842,48.152,48.106,48.092,47.964,48.292,72.728,99.147,66.596,105.671,118.089,140.311,117.516,46.939,47.259,47.126,46.698,46.606,47.354,46.803,54.536,85.281,111.766,127.136,124.696,125.392,125.112,60.188,79.504,50.549,47.056,46.887,46.65,46.765,46.795,47.085,46.995,46.923,46.864,47.084,46.711,46.921,46.772,46.83,46.712,46.457,47.102,46.969,65.65,64.618,48.423,47.65,47.536,47.768,47.563,47.584,47.701,48.388,47.362,508.221,168.393,115.893,128.97,54.04,110.127,130.451,137.128,132.204,51.831,47.225,NA,NA
"19","Kurt Busch",NA,52.612,47.684,47.52,47.58,47.513,47.449,47.532,47.421,47.286,47.307,47.384,47.385,46.911,46.911,47.1,47.361,47.499,47.453,47.377,47.206,47.235,47.061,47.171,46.999,47.126,47.232,47.154,46.834,46.944,46.759,46.799,47.122,46.844,46.996,46.969,47.241,47.239,71.018,61.761,47.413,82.827,116.619,127.11,128.739,122.286,51.153,46.642,46.716,46.923,46.643,46.687,61.391,111.012,128.739,127.549,130.117,51.036,47.053,46.996,46.978,46.64,46.888,60.234,123.48,133.555,131.174,230.762,65.206,173.851,68.372,107.399,51.103,47.096,47.377,46.583,46.314,47.103,47.006,47.279,46.963,47.118,46.89,46.934,47.808,46.862,46.829,46.867,47.329,46.762,46.775,47.056,47.263,47.209,47.088,46.95,46.881,47.317,46.954,46.805,47.012,47.097,46.934,46.871,47.408,47.1,47.124,47.035,47.533,67.641,62.568,47.499,46.687,46.539,46.154,46.256,46.479,46.728,46.981,46.894,46.898,46.604,46.553,47.531,47.223,46.956,46.791,46.964,47.01,47.465,48.204,75.359,114.779,91.495,95.955,47.141,47.211,47.103,46.753,46.699,46.775,46.774,54.777,419.15,66.019,123.506,128.076,134.436,49.963,47.6,47.348,47.268,46.516,46.086,46.883,47.034,46.407,46.367,47.076,46.939,47.829,46.975,47.014,46.898,47.156,46.585,46.379,46.749,46.688,46.236,45.882,46.696,46.63,47.855,47.286,48.051,49.45,50.492,55.115,504.319,165.934,103.652,129.239,58.035,107.614,129.407,137.312,131.761,51.773,47.653,NA,NA,NA
"20","Cole Custer",NA,52.844,47.373,47.775,47.948,47.708,47.339,47.233,47.507,47.023,47.065,47.267,47.206,46.843,46.991,46.777,47.597,46.852,47.549,47.388,47.476,47.28,47.065,47.122,47.299,47.282,47.414,47.184,46.885,46.913,46.526,46.822,47.005,47.122,47.201,47.348,47.405,57.339,75.303,47.566,46.525,84.795,116.912,127.739,127.936,119.434,50.912,46.706,47.662,47.178,48.054,46.796,66.867,111.691,135.271,124.302,119.733,51.824,47.785,47.328,47.34,47.645,47.491,91.777,108.325,127.386,126.536,129.683,126.61,129.638,125.918,120.739,51.224,47.087,46.977,46.876,47.18,46.945,47.155,46.962,46.701,47.007,46.679,46.945,47.071,47.137,46.975,46.893,46.976,46.924,47,47.076,47.19,47.178,47.045,47.005,47.041,47.128,46.815,46.965,46.972,47.07,46.98,46.923,47.097,47.187,47.142,47.11,56.377,72.97,47.041,46.438,47.539,56.241,74.733,58.618,104.488,49.837,49.816,49.835,49.847,49.847,49.904,49.966,48.32,48.56,49.038,55.862,54.576,98.036,163.246,126.189,111.109,46.971,47.131,47.176,46.851,46.766,47.172,46.625,83.932,112.763,127.576,125.069,125.915,124.279,59.976,81.013,50.508,46.943,47.023,47.207,46.747,46.86,47.185,46.943,46.745,46.543,47.104,46.921,46.869,46.605,46.774,46.502,46.505,48.048,56.458,78.903,49.657,47.494,46.368,46.904,46.509,46.823,46.655,46.198,47.153,47.102,505.183,148.428,138.735,129.093,58.3,107.759,127.669,137.413,133.077,52.114,47.543,NA,NA,NA,NA
"21","Joey Logano",NA,52.738,46.835,47.444,47.517,47.423,47.395,47.394,47.374,47.025,47.027,47.689,47.283,46.98,47.023,46.833,47.21,47.189,47.531,47.396,47.515,47.293,47.07,47.094,47.331,47.294,47.399,47.165,46.913,46.838,46.571,46.856,46.986,47.01,46.952,47.479,47.138,47.196,47.426,68.139,62.61,75.899,119.39,128.319,128.169,126.13,51.376,46.7,46.825,47.039,46.983,46.288,59.025,112.594,128.26,128.14,130.641,51.169,47.04,47.003,46.95,46.505,47.112,57.801,124.553,133.609,131.465,131.596,156.855,115.653,125.022,116.559,51.124,46.952,46.973,47.079,47.279,47.122,47.163,47.266,46.355,47.037,46.756,46.821,46.942,47.093,47.024,46.866,47.047,46.913,46.926,47.076,47.28,47.105,47.095,46.997,47.057,47.087,46.86,46.973,46.944,47.046,46.959,47.109,46.982,47.228,47.069,47.141,69.944,61.842,48.108,46.783,46.709,46.53,46.159,46.26,46.519,46.697,46.955,46.449,46.881,46.668,46.57,46.393,46.429,46.551,46.604,46.078,46.601,46.799,46.728,64.212,120.2,153.384,157.525,97.115,46.872,47.138,47.028,46.832,46.797,46.743,46.77,218.346,371.261,119.99,123.371,126.008,50.684,48.01,47.554,47.197,46.479,46.105,47.193,47.288,46.844,46.934,46.705,47.214,46.435,47.144,46.908,46.867,47.177,46.437,46.783,46.719,46.294,46.265,45.907,46.656,46.673,47.834,46.656,46.654,46.27,46.091,47.462,512.391,239.592,65.131,104.475,62.223,106.701,127.045,136.161,131.851,53.113,48.464,NA,NA,NA
"22","Jacques Villeneuve",NA,55.194,49.95,50.331,50.339,50.567,50.644,50.773,50.813,50.835,50.85,50.8,50.814,51.119,50.702,48.053,46.979,47.596,47.468,47.389,47.281,47.042,47.134,47.163,47.28,47.435,47.21,46.903,46.996,46.399,46.917,46.868,47.011,47.039,47.268,47.152,47.071,47.441,63.03,97.786,71.003,113.606,127.259,128.846,109.588,50.115,46.532,46.703,46.633,47.557,46.854,66.537,108.891,64.236,77.339,127.64,115.171,50.865,47.912,47.931,47.833,48.47,49.153,94.434,104.761,127.898,126.344,129.681,119.851,128.763,139.458,113.027,51.631,47.046,47.393,46.542,46.344,47.097,47.011,47.267,46.977,47.198,46.684,47.139,47.969,48.098,47.559,47.871,48.157,48.346,49.679,50.106,48.639,49.034,49.463,49.829,49.975,50.081,50.103,50.164,50.237,50.257,50.208,50.79,49.203,48.619,48.72,48.84,49.374,49.539,59.152,80.963,49.052,48.229,48.315,48.146,48.136,48.076,48.128,48.062,47.854,48.136,48.101,48.105,47.909,48.34,48.284,49.122,47.968,73.465,116.029,122.926,124.934,116.772,46.857,47.294,47.045,46.719,46.842,46.972,46.855,78.515,114.716,128.58,126.657,128.763,122.513,54.48,89.889,51.439,47.937,47.33,46.484,46.921,46.649,47.19,47.653,46.884,46.94,46.473,46.58,46.739,46.832,47.233,47.088,46.677,46.422,47.697,57.271,90.438,64.19,50.777,50.765,50.756,50.758,49.57,47.714,49.507,515.009,139.263,139.87,124.791,68.006,106.872,125.735,135.754,128.229,53.14,48.563,NA,NA,NA,NA
"23","Justin Haley",NA,52.842,47.65,47.876,47.82,47.764,47.353,47.54,47.804,47.365,47.365,46.982,47.428,47.325,46.966,46.901,47.243,47.183,47.477,47.551,47.329,46.882,46.935,47.362,47.254,47.048,47.47,47.273,46.86,46.902,46.596,46.793,46.834,47.12,47.007,47.233,47.32,47.566,46.902,73.59,63.791,89.593,113.188,150.54,107.501,111.89,51.556,47.26,46.743,46.176,48.322,46.328,126.413,75.493,297.613,65.254,49.281,49.098,49.14,49.233,49.393,49.423,96.839,96.708,202.145,79.048,162.378,72.35,134.018,119.158,112.661,51.508,47.201,47.317,47.105,47.374,47.225,47.326,47.229,47.115,47.216,47.392,47.395,47.529,47.579,47.596,47.873,47.78,47.769,48.42,48.291,47.758,47.885,47.792,48.038,48.157,48.298,48.1,48.31,48.469,48.396,49.048,49.611,49.159,49.317,48.939,48.908,48.792,84.725,63.621,49.086,49.032,48.857,49.039,48.875,48.42,48.314,48.904,49.022,49.031,48.049,47.652,47.582,47.685,48.096,47.753,48.334,56.888,55.073,172.529,73.376,123.997,113.771,47.169,47.092,47.387,46.683,46.634,47.222,46.883,51.699,90.38,110.351,127.726,164.94,135.111,138.959,110.268,51.273,47.721,47.965,47.415,47.765,48.19,48.558,48.735,48.746,48.837,48.922,48.912,48.858,48.714,48.78,49.076,49.364,49.153,49.242,49.323,48.983,48.18,47.687,47.546,47.77,47.621,47.56,47.643,48.995,49.447,512.559,140.607,151.067,118.357,69.222,100.823,125.844,136.618,130.447,58.315,56.551,NA,NA,NA,NA
"24","Alex Bowman",NA,53.769,48.028,48.165,47.51,47.634,47.341,47.394,47.369,47.06,47.072,47.376,47.16,47.051,46.934,46.92,47.14,47.258,47.518,47.495,47.401,47.338,47.04,47.133,47.307,47.297,47.337,47.292,46.948,46.905,46.715,46.858,46.959,47.152,47.056,47.102,47.138,47.675,57.243,76.982,47.067,89.004,115.355,127.746,131.84,112.941,50.589,46.62,46.381,46.959,46.998,46.199,66.032,110.114,130.325,126.171,126.137,50.791,46.889,46.782,46.773,46.707,47.037,524.76,243.251,90.047,132.64,103.332,51.078,46.741,46.918,46.789,47.219,47.305,47.168,47.1,46.53,46.884,46.756,46.876,47.332,47,47.045,46.969,47.206,46.628,47.03,47.013,47.303,47.164,46.972,46.991,47.002,47.124,47.017,46.867,47.052,47.018,47.042,46.84,47.25,47.076,47.231,46.878,58.274,74.424,47.218,46.61,46.958,47.403,49.885,52.03,55.588,51.734,48.055,47.615,47.5,47.553,47.911,47.655,47.586,47.679,48.113,47.729,47.761,51.829,54.972,102.141,117.719,127.055,119.165,46.449,46.919,47.28,46.667,46.793,46.955,46.493,81.631,112.309,127.52,126.011,126.321,124.294,57.493,84.837,50.622,48.208,47.517,47.208,46.433,46.136,47.302,47.047,47.071,46.936,46.769,47.538,46.449,47.083,46.924,47.014,47.132,46.948,47.399,56.197,74.667,48.557,48.815,48.608,47.587,46.114,47.278,46.069,46.524,48.098,514.551,142.912,139.447,125.335,64.133,106.574,126.153,135.571,132.585,55.135,57.038,NA,NA,NA,NA,NA,NA
