"","driver","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157","158","159","160","161","162","163","164","165","166","167","168","169","170","171","172","173","174","175","176","177","178","179","180","181","182","183","184","185","186","187","188","189","190","191","192","193"
"25","Austin Dillon",NA,53.014,47.033,47.679,47.565,47.492,47.201,47.433,47.156,47.004,47.165,47.323,47.621,47.145,47.166,46.857,47.489,47.144,47.196,47.568,47.525,47.298,47.033,47.141,47.086,47.087,47.23,47.058,47.033,47.07,46.846,46.699,46.98,47.115,47.171,47.107,47.172,47.067,56.972,80.116,48.416,89.184,113.141,126.917,136.887,107.223,50.554,46.931,47.154,45.979,48.1,46.722,67.605,108.594,128.906,125.776,125.263,50.745,47.004,46.751,46.772,46.747,46.979,58.408,124.738,133.322,131.34,131.463,131.071,184.532,108.808,90.695,51.391,47.523,47.284,47.153,47.356,47.217,47.359,47.199,47.135,47.229,47.354,47.43,47.532,47.583,47.579,47.876,47.781,47.753,48.367,48.369,47.738,47.882,47.794,48.048,48.128,48.282,48.128,48.277,48.484,48.409,57.678,78.39,50.294,48.985,49.074,49.002,49.064,49.032,49.084,49.258,48.135,49.142,50.631,51.695,52.216,52.449,51.652,51.452,50.746,49.309,49.866,50.531,51.092,49.925,49.985,51.494,68.64,127.833,105.019,124.953,115.438,49.378,50.599,50.746,50.829,50.885,50.996,50.998,51.133,58.552,70.792,81.2,127.648,123.086,124.43,124.442,61.123,78.723,51.463,48.071,48.316,49.426,49.069,49.457,49.927,50.087,50.362,49.739,50.155,49.667,49.984,49.813,49.801,59.019,81.549,51.59,51.607,57.555,65.522,52.462,52.249,49.385,49.792,50.01,50.487,56.464,488.162,153.932,139.888,122.646,68.853,101.836,125.852,136.101,133.03,59.58,59.815,NA,NA,NA,NA
"26","Kaz Grala",NA,53.14,47.069,47.29,47.522,47.446,47.476,47.32,47.546,47.4,47.161,47.352,47.487,46.982,47.392,46.908,47.176,47.339,47.446,47.591,47.355,47.387,47.589,47.75,48.691,48.279,48.257,48.415,48.6,48.53,48.795,49.007,49.063,49.116,49.312,49.296,76.914,63.584,50.288,50.251,234.815,149.127,96.2,109.351,50.811,47.292,47.827,48.269,50.364,49.667,65.49,105.193,186.087,78.546,114.933,51.146,48.486,48.284,48.068,49.167,48.636,98.646,100.204,127.403,126.884,129.129,121.926,122.273,126.472,55.237,74.876,51.263,47.451,47.465,47.133,47.328,47.246,47.337,47.234,47.108,47.235,47.43,47.321,47.552,47.548,47.606,47.862,47.795,47.74,48.486,48.269,47.788,47.853,47.772,48.065,48.183,48.292,106.423,64.591,48.526,57.64,63.809,49.43,48.938,48.897,48.825,48.628,48.101,48.456,49.445,49.857,50.006,49.844,48.927,48.368,48.272,48.918,49.023,49.03,49.153,49.039,49.567,49.946,49.135,48.202,49.023,49.419,72.861,116.118,122.51,124.324,114.826,46.991,47.228,47.152,46.733,46.765,47.195,46.731,80.44,114.718,127.671,125.969,161.227,107.759,124.313,50.83,47.708,47.509,46.971,47.306,47.187,48.254,48.555,48.789,49.039,49.222,49.318,49.498,49.621,49.342,49.295,49.406,49.141,49.26,49.304,49.03,48.127,47.777,48.105,48.958,49.405,47.996,46.897,47.476,50.484,514.743,138.164,138.82,124.353,60.074,107.806,127.548,136.873,131.734,53.568,49.173,NA,NA,NA,NA,NA,NA
"27","BJ McLeod",NA,53.053,46.948,47.415,47.584,47.545,47.291,47.24,47.53,47.336,47.486,47.107,47.392,46.97,47.427,46.908,47.152,47.333,47.427,47.605,47.355,47.375,47.593,47.728,48.751,48.277,48.246,48.42,48.576,48.528,48.8,49.007,49.06,49.105,49.342,49.288,59.336,82.84,49.991,49.831,54.408,62.642,105.809,157.897,97.162,111.103,50.977,47.682,49.221,50.404,50.708,50.956,59.785,105.116,129.155,141.932,107.823,51.416,48.557,48.261,48.49,49.194,49.286,98.843,100.115,126.708,126.735,129.049,122.089,125.242,151.113,101.3,51.279,47.045,47.514,47.739,47.965,47.996,49.134,50.009,50.376,50.566,50.758,50.893,50.969,51.136,51.103,50.842,51.168,51.105,49.277,49.942,50.271,50.593,50.054,49.511,50.077,50.258,50.482,50.684,50.816,50.902,51.166,51.775,48.939,48.631,48.91,49.309,49.521,60.018,95.014,64.98,50.079,50.372,50.493,50.381,49.775,50.05,49.557,50.273,50.072,49.314,49.976,50.765,48.49,48.722,49.553,73.653,115.012,118.752,125.246,118.369,46.886,47.118,47.324,46.832,46.655,47.212,46.934,56.328,85.378,110.463,127.843,123.946,124.941,124.62,61.026,78.715,50.847,47.59,47.508,47.002,47.286,47.207,48.266,48.561,48.782,49.025,49.223,49.332,49.497,49.608,49.559,49.478,49.863,50.113,60.506,84.623,48.26,47.648,47.547,47.763,47.568,47.595,47.684,48.544,49.404,514.753,140.032,139.813,125.695,62.91,107.756,126.317,135.876,131.867,54.674,52.29,NA,NA,NA,NA,NA
"28","Ricky Stenhouse Jr.",NA,52.67,47.74,47.57,47.541,47.504,47.451,47.509,47.279,47.15,47.1,47.319,47.108,47.123,46.992,46.84,47.174,47.26,47.497,47.474,47.349,47.341,47.077,47.154,47.283,47.333,47.29,47.307,46.99,46.857,46.771,46.739,47.013,47.023,47.257,47.525,47.185,47.3,47.42,70.996,62.089,86.975,115.539,140.382,120.027,114.568,50.654,46.701,46.527,46.934,46.991,46.211,65.494,109.926,129.371,126.412,127.545,50.838,46.898,46.784,46.771,46.697,47.065,57.358,124.457,133.634,131.359,131.299,154.245,114.992,124.979,120.506,51.186,46.967,46.683,46.908,47.121,47.047,47.118,47.388,46.952,47.193,46.855,46.859,47.283,47.157,47.008,46.875,47.059,46.905,47.03,46.978,47.299,47.014,47.136,46.994,47.061,47.083,46.923,46.967,46.955,47.045,47.053,46.883,47.203,47.107,47.21,46.915,71.004,61.76,47.288,46.432,46.733,46.534,46.148,46.359,46.464,46.554,47.021,46.299,46.893,46.655,46.573,46.388,46.418,47.182,46.38,46.307,46.459,46.749,46.741,67.157,118.052,164.157,124.842,120.909,47.092,47.07,47.01,46.82,46.8,46.788,46.778,79.765,113.973,128.192,126.805,117.123,134.312,116.14,51.133,47.496,47.093,46.789,46.722,46.775,47.095,47.049,46.819,46.824,47.042,46.977,47.071,46.654,46.754,46.498,46.466,47.036,46.693,46.657,46.706,46.397,46.207,46.204,46.74,46.537,46.976,47.084,46.223,47.018,46.828,497.193,152.624,137.676,134.244,NA,NA,NA,NA,NA,NA,NA,NA
"29","Erik Jones",NA,53.066,48.008,47.62,47.512,47.54,47.449,47.393,47.311,47.116,47.093,47.34,47.127,47.124,46.945,46.865,47.162,47.252,47.508,47.48,47.353,47.341,47.054,47.174,47.304,47.315,47.287,47.291,46.98,46.871,46.784,46.737,47.009,47.082,47.268,47.519,47.174,47.724,57.913,78.544,47.833,89.731,112.68,127.645,131.283,112.291,50.452,46.49,46.642,46.854,46.887,46.506,66.691,111.602,132.404,124.291,123.821,50.797,47.07,46.812,46.677,46.685,46.998,61.324,122.601,133.555,131.476,130.662,130.9,128.927,126.741,125.527,51.447,46.974,46.749,47.064,47.324,47.036,47.105,47.406,48.459,46.267,46.781,46.857,47.381,46.983,47.012,46.974,47.207,46.645,47.022,47.014,47.297,47.168,46.972,46.993,46.994,47.153,47.015,46.853,47.069,47.027,47.015,46.836,47.244,47.103,47.211,46.886,58.525,71.41,46.642,46.107,46.991,47.141,47.245,47.637,46.865,46.569,47.263,46.603,46.947,46.582,46.51,46.284,46.462,46.742,47.042,46.501,46.633,46.881,46.176,71.433,116.797,127.767,125.823,126.041,46.606,47.237,47.02,46.513,46.815,46.921,46.865,74.346,117.086,127.673,127.553,136.803,125.858,130.479,51.357,47.833,47.164,46.992,46.73,46.891,47.098,46.919,46.801,46.873,47.009,46.735,46.891,46.811,46.882,46.65,46.541,47.072,46.933,46.504,46.889,46.42,46.198,46.219,46.74,46.66,46.924,47.149,46.7,46.798,46.76,102.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Kevin Harvick",NA,52.617,47.982,47.866,47.555,47.632,47.378,47.407,47.564,47.081,47.269,47.365,47.263,46.958,47.252,46.77,47.683,46.833,47.587,47.371,47.517,47.265,47.084,47.19,47.02,47.137,47.298,46.971,47.049,46.861,46.791,46.739,47.005,47.119,47.203,47.369,47.353,56.899,76.197,47.494,46.514,85.091,116.957,127.686,127.781,119.305,50.725,46.712,47.194,47.06,48.088,47.181,66.379,111.755,131.662,123.894,123.253,52.84,48.409,47.092,47.384,47.65,47.479,92.947,108.388,127.102,126.692,129.32,126.353,124.752,126.836,123.665,51.336,46.916,46.754,47.155,47.21,47.01,47.037,46.957,46.76,46.914,46.756,46.961,46.981,47.214,46.911,46.883,46.92,46.898,47.095,47.058,47.137,47.165,47.12,47.019,47.028,47.023,46.922,46.941,46.996,47.08,46.945,46.934,47.126,47.125,47.151,47.053,56.066,73.135,47.429,46.342,47.621,47.079,47.481,46.793,46.858,47.019,46.982,46.583,47.028,46.666,46.607,46.412,47.061,47.005,46.645,46.619,46.334,46.439,46.676,69.999,116.603,128.238,126.921,126.316,47.082,47.25,47.038,46.89,46.828,47.501,46.573,79.346,114.466,128.564,126.497,136.851,126.518,127.898,51.471,47.805,47.103,47.019,46.69,46.995,47.047,46.919,46.803,46.868,47.066,46.686,46.957,46.766,46.849,46.702,46.494,46.974,46.69,46.594,46.712,46.437,46.181,46.246,46.693,46.635,46.944,47.053,46.099,46.918,47.31,110.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Noah Gragson",NA,52.797,47.012,47.356,47.443,47.676,47.266,47.438,47.177,47.228,47.235,47.297,47.306,46.93,46.935,46.811,47.249,47.14,47.533,47.399,47.532,47.278,47.079,47.104,47.33,47.27,47.408,47.174,46.888,46.902,46.521,46.873,46.979,46.993,46.982,47.313,47.236,47.645,57.54,80.816,48.24,89.912,113.824,126.752,128.053,112.731,50.254,46.539,46.468,47.821,47.028,46.886,66.871,111.646,137.063,125.655,117.724,50.88,47.072,46.987,46.841,46.626,46.927,70.916,113.585,133.319,132.055,131.593,128.911,141.035,125.623,115.346,50.846,47.103,47.628,46.534,46.352,47.099,46.987,47.26,46.419,47.045,46.764,46.849,47.002,47.131,47.005,46.866,47.056,46.908,46.994,47.001,47.311,47.049,47.094,47.026,47.055,47.064,46.898,46.965,46.973,47.067,46.974,46.975,47.143,47.14,47.175,46.986,58.952,76.794,49.143,49.193,49.16,49.183,49.2,49.34,49.309,50.332,48.021,47.635,47.485,47.583,47.861,47.67,47.611,47.645,48.133,47.737,47.785,54.379,55.371,99.656,119.337,125.05,121.552,46.8,47.282,47.006,46.619,46.844,46.955,46.859,78.522,114.375,128.15,127.173,141.545,126.322,125.21,51.122,47.681,47.375,47.235,46.864,46.483,46.693,46.892,46.838,46.755,47.278,47.077,46.76,46.777,46.934,46.679,46.497,46.91,46.973,46.597,46.525,46.336,46.155,46.657,46.87,46.572,46.824,46.661,46.21,46.946,46.621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Kyle Larson",NA,53.766,48.009,48.194,47.503,47.564,47.418,47.392,47.339,47.089,47.091,47.337,47.185,47.057,46.942,46.89,47.155,47.25,47.518,47.486,47.39,47.343,46.997,47.189,47.304,47.308,47.307,47.291,46.952,46.911,46.737,46.821,46.954,47.135,47.081,47.09,47.141,47.722,47.487,57.25,76.341,88.791,115.151,127.942,130.898,114.185,50.484,46.519,46.585,46.996,46.973,46.528,66.36,110.006,130.834,126.142,125.488,50.857,46.946,46.781,46.779,46.708,47.051,69.482,115.549,133.607,130.828,130.941,130.351,131.66,126.305,123.308,51.368,47.127,46.949,46.86,47.152,47.04,47.14,47.395,46.921,47.118,46.877,46.821,47.034,47.11,47.014,46.873,47.054,46.914,46.961,47.02,47.296,47.086,47.088,47.024,47.049,47.066,46.904,46.948,46.966,47.078,46.949,47.037,47.02,47.212,47.14,47.069,56.624,73.97,46.62,46.083,47.023,47.104,47.274,47.062,46.801,46.772,47.04,46.289,46.917,46.675,46.555,46.392,46.404,46.474,47.645,46.418,46.305,46.495,46.998,70.494,116.484,127.875,129.444,125.697,47.115,47.075,46.986,46.823,46.832,46.76,46.801,78.39,114.505,125.57,126.52,137.663,126.283,127.606,51.018,47.706,47.113,46.643,46.702,46.885,47.046,47.02,46.713,46.802,47.154,46.908,46.886,46.632,46.765,46.481,46.515,46.985,46.72,46.621,46.721,46.429,46.173,46.249,46.69,46.574,46.982,47.094,46.89,46.915,46.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Todd Gilliland",NA,52.872,47.365,47.823,47.868,47.728,47.348,47.188,47.505,46.909,47.117,47.328,47.309,46.887,46.956,46.805,47.588,46.876,47.535,47.398,47.469,47.279,47.065,47.126,47.307,47.273,47.408,47.2,46.888,46.897,46.509,46.868,46.984,47.003,46.994,47.343,47.318,68.589,63.11,48.239,46.785,84.065,116.766,127.66,128.424,120.262,50.991,46.588,46.726,46.915,46.677,46.669,62.99,110.26,130.094,127.423,128.097,50.928,46.886,46.795,46.767,46.701,47.051,57.038,124.321,133.347,131.531,131.366,152.063,114.828,126.133,122.055,51.265,47.104,46.953,46.859,47.161,47.042,47.075,46.922,46.766,46.944,46.724,46.958,47.033,47.157,46.96,46.889,46.916,46.917,47.064,47.061,47.14,47.133,47.177,46.976,47.054,47.042,46.884,46.954,46.975,47.06,46.979,46.925,47.116,47.184,47.13,47.072,67.735,61.658,47.079,46.381,47.59,47.121,47.416,46.797,46.894,46.995,46.964,46.599,47.028,46.659,46.629,46.413,47.07,47.08,46.624,46.539,46.379,46.915,46.391,70.679,116.725,157.974,124.837,122.006,47.065,47.14,47.03,46.84,46.809,47.594,46.513,78.553,114.364,128.958,125.895,116.181,137.467,112.131,51.526,47.017,47.123,46.739,46.733,46.773,47.091,47.048,46.834,46.818,47.06,46.964,47.168,46.784,46.769,46.452,46.467,46.928,46.724,46.583,46.734,46.427,46.157,46.269,46.688,46.604,46.96,47.228,46.754,46.929,46.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Christopher Bell",NA,52.856,47.548,47.591,47.544,47.584,47.425,47.607,47.395,47.292,47.323,47.297,47.447,46.92,46.913,47.108,47.335,47.49,47.485,47.341,47.213,47.21,47.08,47.189,47.037,47.106,47.207,47.159,46.826,46.925,46.795,46.785,47.136,46.833,47.017,46.922,47.268,47.231,56.33,74.969,48.467,77.664,118.967,128.324,128.151,124.766,51.307,46.654,46.626,46.975,46.706,46.653,59.913,111.143,127.854,128.42,131.359,51.191,47.033,46.997,46.944,46.507,46.965,136.655,232.785,100.428,178.694,71.089,119.395,142.595,114.532,54.11,52.587,1889.172,71.032,50.839,50.682,50.975,50.927,50.874,50.673,50.376,49.308,49.869,50.75,51.192,49.605,49.99,51.757,64.452,114.689,118.582,125.4,118.846,49.356,50.601,50.745,50.819,50.895,50.987,51.013,51.126,58.722,70.887,81.622,127.509,123.047,126.562,134.189,128.135,50.05,48.081,49.049,49.694,49.026,49.445,49.97,50.024,50.461,49.953,49.916,49.796,49.936,49.73,49.9,59.743,79.789,52.307,51.552,48.86,49.196,50.118,50.802,51.353,49.925,50.149,50.274,50.485,54.387,483.149,135.314,140.56,124.267,64.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Tyler Reddick",NA,52.962,48.023,47.887,47.537,47.645,47.358,47.413,47.575,47.086,47.132,47.349,47.617,47.101,47.095,46.764,47.7,47.146,47.121,47.424,47.456,47.237,47.226,47.155,47.183,47.293,47.433,47.146,46.949,46.937,46.472,46.791,46.964,46.991,46.96,47.331,47.328,47.441,57.014,74.652,46.896,81.676,117.124,128.281,128.707,121.819,50.935,46.682,46.877,47.009,47.01,46.809,66.955,111.584,137.929,125.333,118.625,50.516,47.665,46.931,46.869,47.114,48.2,86.853,102.347,132.612,127.275,132.018,127.822,134.665,125.322,119.713,51.177,47.063,46.99,46.889,47.172,46.93,47.05,47.37,46.929,47.134,46.877,46.871,47.29,47.054,47.044,46.951,47.251,46.589,47.044,47.009,47.271,47.22,46.95,46.975,47.036,47.1,46.986,46.906,47.034,46.994,47.09,46.839,47.191,47.089,47.249,46.872,57.795,72.311,46.64,46.124,46.967,47.183,47.233,47.608,46.882,46.547,47.174,46.664,46.964,46.615,46.646,47.031,47.098,46.572,47.003,46.948,47.083,47.494,47.857,74.202,114.232,124.072,125.545,119.923,46.828,47.293,47.006,46.713,46.825,46.993,46.797,52.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Greg Biffle",NA,52.957,47.617,47.788,47.924,47.711,47.34,47.203,47.506,46.997,47.125,47.207,47.456,47.182,46.849,47.05,47.425,47.229,47.465,47.564,47.342,47.446,47.56,47.778,48.991,60.798,121.199,4208.703,63.684,50.506,50.568,50.498,50.464,50.507,50.597,50.549,50.791,50.179,48.733,49.247,49.644,49.933,50.027,48.789,48.792,48.824,48.874,48.893,49.296,49.244,49.365,49.658,50.107,47.694,46.836,55.436,80.495,51.028,48.279,48.629,49.272,49.791,49.985,50.224,50.283,50.317,50.403,55.04,111.887,118.319,125.12,116.654,46.888,47.052,47.359,46.767,46.673,47.19,46.938,78.982,112.789,128.109,124.93,128.295,139.348,125.824,50.855,48.072,48.335,49.41,49.058,49.258,49.833,50.035,50.701,49.769,50.14,49.685,49.982,49.784,49.828,59.61,83.423,50.126,50.582,48.777,49.195,49.87,50.656,51.752,49.916,50.15,50.285,50.48,62.7,478.461,132.627,141.407,123.084,73.605,98.738,126.469,135.35,129.414,55.193,51.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Denny Hamlin",NA,52.829,47.181,47.696,47.475,47.412,47.374,47.376,47.437,47.178,47.181,47.29,47.276,46.916,46.978,47.08,47.36,47.482,47.441,47.418,47.191,47.23,47.015,47.199,46.96,47.18,47.269,47.105,46.833,46.947,46.711,46.823,47.108,46.89,46.969,47.02,47.213,47.234,56.834,73.972,48.47,77.44,118.333,128.344,128.003,125.699,51.38,46.631,46.623,46.994,46.712,46.657,57.923,112.798,127.903,128.168,131.821,51.239,47.046,46.997,46.947,46.517,46.922,118.603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","William Byron Jr.",NA,52.53,48.063,47.873,47.584,47.619,47.391,47.428,47.106,47.134,47.257,47.377,47.106,46.933,46.983,47.094,47.351,47.134,47.526,47.398,47.529,47.19,47,47.196,46.932,47.244,47.429,47.014,46.866,46.878,46.721,46.857,47.04,46.974,46.916,47.079,47.155,47.714,56.652,75.014,47.413,82.478,115.628,127.483,128.52,123.435,51.236,46.642,46.681,46.915,46.705,46.685,60.885,110.364,127.954,128.041,131.146,51.391,46.72,47.062,46.981,46.508,46.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Harrison Burton",NA,53.274,48.043,48.142,47.485,47.423,47.31,47.344,47.437,47.28,47.375,47.498,47.131,47.003,46.997,46.891,47.129,47.273,47.524,47.414,47.469,47.281,47.102,47.08,47.333,47.326,47.363,47.17,46.926,46.901,46.617,46.855,46.983,47.015,46.953,47.484,47.077,47.265,47.45,56.526,74.394,78.432,117.833,128.463,127.628,125.551,51.34,46.699,46.854,47,47.002,46.28,60.418,111.545,128.509,127.819,130.256,51.229,46.863,46.809,46.833,46.704,47.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Ross Chastain",NA,52.676,47.853,47.863,47.522,47.653,47.348,47.411,47.436,47.072,47.016,47.563,47.142,47.021,46.965,46.932,47.121,47.268,47.523,47.446,47.444,47.287,47.085,47.083,47.338,47.308,47.384,47.186,46.856,46.851,46.768,46.85,46.987,47.089,47.222,47.09,47.071,47.742,56.413,80.026,47.848,89.11,112.913,125.508,127.962,117.401,50.76,46.522,46.728,46.921,46.69,46.642,64.867,110.122,129.368,127.034,127.506,50.809,47.043,46.786,46.766,46.705,46.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
